"x","count"
2,2306
4,3703
6,5386
8,5772
10,6233
12,6803
14,7395
16,7186
18,7328
20,6524
22,6682
24,6727
26,6465
28,6008
30,6221
32,5833
34,5704
36,5652
38,5922
40,5674
42,5595
44,5619
46,5710
48,5101
50,5253
52,5194
54,5222
56,4602
58,5068
60,4681
62,4562
64,4281
66,4403
68,4132
70,4266
72,4362
74,3652
76,3946
78,3513
80,3682
82,3629
84,3241
86,3451
88,3444
90,3195
92,3442
94,2970
96,3064
98,3295
100,2578
102,2757
104,2876
106,2406
108,2086
110,2479
112,2082
114,2031
116,1986
118,1673
120,1942
122,2089
124,1823
126,1876
128,2168
130,1645
132,1560
134,1743
136,1579
138,1221
140,1408
142,1354
144,1330
146,1363
148,1300
150,1508
152,1424
154,1176
156,929
158,1092
160,1074
162,1093
164,1053
166,1484
168,1155
170,1045
172,925
174,947
176,971
178,802
180,731
182,880
184,986
186,888
188,693
190,861
192,787
194,974
196,882
198,715
200,740
202,694
204,670
206,654
208,883
210,570
212,580
214,587
216,617
218,503
220,511
222,570
224,545
226,544
228,523
230,635
232,448
234,438
236,451
238,499
240,546
242,430
244,423
246,396
248,391
250,496
252,444
254,589
256,348
258,357
260,455
262,355
264,314
266,339
268,326
270,345
272,394
274,304
276,363
278,360
280,430
282,419
284,353
286,424
288,315
290,418
292,399
294,306
296,292
298,428
300,285
302,274
304,281
306,282
308,288
310,277
312,256
314,250
316,255
318,283
320,271
322,223
324,257
326,248
328,316
330,188
332,354
334,241
336,247
338,219
340,229
342,211
344,178
346,206
348,235
350,312
352,203
354,204
356,206
358,216
360,204
362,219
364,204
366,194
368,219
370,192
372,174
374,212
376,172
378,187
380,195
382,231
384,219
386,218
388,183
390,192
392,154
394,176
396,181
398,181
400,162
402,170
404,135
406,145
408,159
410,147
412,165
414,181
416,159
418,162
420,159
422,167
424,166
426,164
428,181
430,142
432,150
434,146
436,135
438,302
440,147
442,128
444,162
446,129
448,147
450,149
452,134
454,114
456,127
458,133
460,118
462,126
464,152
466,127
468,124
470,122
472,115
474,124
476,127
478,120
480,110
482,112
484,119
486,104
488,119
490,107
492,130
494,144
496,116
498,111
500,136
502,100
504,111
506,112
508,97
510,105
512,114
514,101
516,107
518,101
520,119
522,97
524,94
526,93
528,91
530,89
532,94
534,96
536,81
538,114
540,97
542,91
544,113
546,91
548,103
550,98
552,90
554,81
556,88
558,89
560,89
562,87
564,103
566,75
568,84
570,98
572,108
574,86
576,89
578,83
580,85
582,96
584,87
586,205
588,95
590,102
592,101
594,94
596,89
598,83
600,84
602,68
604,72
606,83
608,79
610,56
612,71
614,79
616,69
618,82
620,79
622,81
624,56
626,72
628,65
630,73
632,80
634,61
636,84
638,88
640,74
642,64
644,51
646,65
648,69
650,65
652,78
654,73
656,62
658,71
660,55
662,71
664,62
666,54
668,66
670,72
672,71
674,63
676,79
678,88
680,67
682,90
684,56
686,64
688,69
690,51
692,61
694,57
696,72
698,69
700,66
702,57
704,48
706,60
708,48
710,63
712,62
714,62
716,56
718,55
720,49
722,66
724,43
726,76
728,48
730,77
732,52
734,54
736,52
738,52
740,46
742,63
744,51
746,50
748,60
750,45
752,48
754,54
756,53
758,51
760,52
762,52
764,51
766,48
768,52
770,60
772,49
774,39
776,40
778,54
780,36
782,43
784,54
786,52
788,50
790,46
792,50
794,53
796,46
798,49
800,30
802,34
804,52
806,49
808,39
810,43
812,40
814,52
816,45
818,44
