"x","count"
1,218399
2,256866
3,190305
4,150663
5,124595
6,99405
7,81359
8,67978
9,57216
10,46512
11,39115
12,33125
13,28817
14,24845
15,21187
16,18254
17,16040
18,14518
19,12805
20,11423
21,10348
22,9592
23,8509
24,7938
25,7058
26,6808
27,6018
28,5624
29,5234
30,4906
31,4754
32,4608
33,4318
34,4154
35,4110
36,3832
37,3817
38,3445
39,3351
40,3005
41,2916
42,2734
43,2622
44,2556
45,2417
46,2273
47,2051
48,1841
49,1577
50,1453
51,1253
52,1176
53,1080
54,989
55,944
56,947
57,891
58,815
59,772
60,827
61,768
62,717
63,728
64,704
65,618
66,638
67,630
68,611
69,582
70,557
71,581
72,532
73,479
74,508
75,546
76,489
77,500
78,434
79,448
80,362
81,416
82,388
83,432
84,399
85,358
86,381
87,373
88,374
89,348
90,344
91,347
92,303
93,363
94,329
95,321
96,317
97,321
98,296
99,310
100,249
101,285
102,255
103,237
104,230
105,267
106,265
107,213
108,192
109,198
110,234
111,210
112,224
113,208
114,207
115,218
116,208
117,173
118,177
119,204
120,182
121,185
122,185
123,178
124,156
125,186
126,171
127,183
128,156
129,155
130,170
131,178
132,157
133,128
134,140
135,146
136,160
137,157
138,139
139,155
140,128
141,131
142,158
143,137
144,112
145,137
146,103
147,120
148,108
149,118
150,127
151,118
152,110
153,88
154,108
155,103
156,106
157,97
158,95
159,95
160,77
161,98
162,89
163,78
164,81
165,89
166,71
167,77
168,91
169,78
170,80
171,70
172,89
173,79
174,68
175,73
176,77
177,77
178,65
179,72
180,61
181,81
182,70
183,62
184,62
185,75
186,73
187,56
188,66
189,56
190,69
191,69
192,56
193,52
194,65
195,60
196,56
197,63
198,62
199,41
200,57
201,63
202,62
203,53
204,52
205,49
206,56
207,48
208,34
209,61
210,42
211,56
212,40
213,44
214,46
215,41
216,35
217,55
218,44
219,41
220,43
221,46
222,44
223,41
224,46
225,40
226,53
227,45
228,42
229,46
230,44
231,44
232,33
233,47
234,30
235,33
236,33
237,46
238,38
239,45
240,41
241,47
242,25
243,42
244,45
245,25
246,32
247,49
248,31
249,35
250,30
251,38
252,25
253,39
254,30
255,38
256,28
257,26
258,24
