"x","count"
1,1282
2,1720
3,1597
4,1266
5,985
6,810
7,705
8,564
9,511
10,480
11,412
12,446
13,318
14,290
15,290
16,267
17,292
18,287
19,261
20,204
21,190
22,229
23,193
24,153
25,156
26,152
27,152
28,157
29,157
30,153
31,140
32,134
33,100
34,98
35,123
36,117
37,99
38,96
39,108
40,100
41,102
42,96
43,86
44,81
45,103
46,90
47,88
48,94
49,64
50,61
51,92
52,72
53,73
54,50
55,47
56,53
57,42
58,40
59,46
60,35
61,54
62,36
63,33
64,39
65,36
66,43
67,32
68,41
69,48
70,33
71,23
72,34
73,31
74,37
75,34
76,30
77,22
78,18
79,24
80,41
81,28
82,23
83,23
84,18
85,34
86,21
87,22
88,18
89,5
90,13
91,26
92,13
93,21
94,15
95,13
96,15
97,5
98,11
99,13
100,12
101,9
102,9
103,8
104,7
105,22
106,8
107,13
108,16
109,10
110,7
111,11
112,13
113,10
114,10
115,6
116,7
117,8
118,9
119,7
120,10
121,4
122,4
123,10
124,9
125,9
126,7
127,4
128,6
129,8
130,5
131,3
132,11
133,9
134,6
135,3
136,6
137,5
138,6
139,8
140,4
141,5
142,6
143,6
144,5
145,4
146,2
147,3
148,6
149,6
150,4
151,2
152,4
153,6
154,1
155,4
156,3
157,3
158,4
159,2
161,3
162,5
163,2
165,2
166,5
168,1
169,4
171,1
172,3
173,4
174,5
175,3
176,1
178,3
179,1
180,1
181,1
182,1
185,2
188,2
189,1
190,1
192,3
193,1
194,2
195,1
196,2
197,1
200,1
202,1
208,1
210,1
211,2
212,1
213,4
214,3
216,1
219,2
220,1
222,2
224,2
229,1
230,1
233,1
234,1
235,1
236,1
249,1
252,2
256,1
257,1
258,1
269,1
270,1
271,2
274,1
281,1
292,1
297,1
313,1
323,2
329,1
330,1
333,1
336,1
350,1
351,1
362,1
369,1
383,1
387,1
418,1
420,1
427,1
504,1
