"x","count"
1,103127
2,22049
3,8655
4,4340
5,2504
6,1684
7,1141
8,829
9,626
10,444
11,395
12,298
13,254
14,245
15,223
16,170
17,149
18,135
19,141
20,126
21,115
22,101
23,107
24,82
25,84
26,87
27,66
28,75
29,72
30,87
31,74
32,55
33,56
34,67
35,62
36,50
37,55
38,47
39,44
40,54
41,46
42,46
43,38
44,49
45,46
46,44
47,43
48,41
49,39
50,754
51,1003
52,728
53,517
54,350
55,278
56,190
57,198
58,157
59,122
60,93
61,98
62,80
63,63
64,69
65,68
66,51
67,48
68,35
69,26
70,33
71,28
72,23
73,22
74,31
75,24
76,17
77,14
78,15
79,20
80,15
81,16
82,7
83,6
84,12
85,14
86,13
87,12
88,10
89,11
90,9
91,11
92,10
93,8
94,11
95,11
96,9
97,5
98,5
99,4
100,5
101,3
102,7
103,5
104,9
105,4
106,4
107,3
108,1
109,3
110,5
111,3
112,3
113,3
114,8
115,5
116,4
117,3
118,3
119,3
121,4
122,4
123,2
124,5
125,2
126,3
127,3
128,2
129,1
130,3
131,4
132,2
133,4
134,3
135,1
136,4
137,1
138,1
140,2
141,1
142,3
145,2
146,2
147,2
148,1
150,1
152,1
153,2
155,2
157,1
158,1
159,3
160,1
165,3
166,1
167,1
172,1
173,1
176,2
179,1
182,1
188,1
194,1
196,1
201,1
203,1
205,1
210,1
211,1
215,1
225,1
227,1
239,1
246,1
248,1
259,1
265,1
278,1
287,1
