"x","count"
1,796128
2,258304
3,108418
4,53066
5,28812
6,16900
7,10549
8,7119
9,4882
10,3478
11,2542
12,2009
13,1622
14,1230
15,7288
16,45433
17,18163
18,8954
19,5049
20,3125
21,2005
22,1382
23,947
24,739
25,627
26,483
27,425
28,359
29,295
30,304
31,303
32,235
33,201
34,177
35,179
36,160
37,133
38,135
39,127
40,125
41,138
42,95
43,100
44,108
45,179
46,161
47,117
48,100
49,94
50,71
51,103
52,99
53,78
54,88
55,76
56,64
57,85
58,78
59,67
60,140
61,113
62,81
63,78
64,93
65,85
66,78
67,86
68,72
69,69
70,72
71,67
72,89
73,75
74,75
75,145
76,113
77,94
78,72
79,75
80,78
81,59
82,86
83,80
84,78
85,70
86,64
87,79
88,80
89,80
90,131
91,87
92,85
93,93
94,79
95,68
96,64
97,65
98,75
99,62
100,76
101,98
102,78
103,72
104,85
105,98
106,80
107,67
108,88
109,57
110,59
111,81
112,64
113,66
114,73
115,53
116,66
117,69
118,73
119,83
120,108
121,71
122,79
123,58
124,69
125,65
126,64
127,64
128,75
129,63
130,62
131,73
132,74
133,58
134,77
135,93
136,75
137,65
138,57
139,59
140,58
141,63
142,67
143,47
144,56
145,46
146,46
147,48
148,46
149,43
150,16
151,13
152,6
153,8
154,3
155,5
156,4
157,4
158,4
159,3
160,5
161,5
162,3
163,9
164,8
165,9
166,5
167,6
168,6
169,4
170,2
171,5
172,5
173,3
174,3
175,9
176,6
177,1
178,5
179,4
180,14
181,11
182,5
183,4
184,3
185,3
186,3
187,3
188,7
189,3
190,3
191,6
192,5
193,11
194,4
195,14
196,7
197,11
198,7
199,5
200,7
201,8
202,4
203,2
204,2
205,5
206,5
207,5
208,5
209,3
210,11
211,15
212,3
213,3
214,3
215,3
216,1
217,1
218,6
219,3
220,5
221,8
222,4
223,5
224,3
225,7
226,4
227,5
228,4
229,4
230,7
231,4
232,9
233,10
234,8
235,1
236,4
237,5
238,5
239,5
240,6
241,9
242,7
243,7
244,3
245,6
246,4
247,4
248,1
249,2
250,5
251,4
252,4
253,8
254,6
255,7
256,3
257,6
258,8
259,1
260,4
261,4
262,4
263,5
264,7
265,5
266,2
267,3
268,7
269,5
270,3
271,9
272,9
273,6
274,5
275,1
276,3
277,6
278,3
279,7
280,2
281,5
282,1
283,2
284,6
285,5
286,4
287,6
288,1
289,8
290,4
291,1
292,2
293,5
294,5
295,6
296,2
297,2
298,4
299,4
300,6
301,2
302,2
303,4
304,5
305,1
307,4
308,6
309,5
310,4
311,4
312,5
313,6
314,4
315,4
316,1
317,3
318,3
319,5
320,1
321,3
322,4
323,1
324,4
325,3
326,2
327,7
328,5
330,7
331,2
332,5
333,5
334,7
335,3
336,6
337,3
338,2
339,1
340,4
341,2
342,6
343,6
344,2
345,5
346,5
347,4
348,3
349,3
350,2
351,4
352,4
353,3
354,4
355,3
356,5
357,4
358,3
359,5
360,2
361,4
362,6
363,5
364,5
365,3
366,8
367,3
368,3
369,4
370,3
371,9
372,3
373,1
374,4
375,2
376,2
377,3
378,3
379,3
380,3
381,1
382,4
383,1
384,2
385,6
386,4
387,1
388,3
389,6
390,2
391,3
392,2
393,1
394,1
395,3
396,1
397,6
398,1
399,2
400,3
401,4
402,1
403,2
404,4
405,2
406,5
407,3
408,4
410,2
413,1
414,6
415,4
416,3
417,5
418,1
419,2
420,2
421,4
422,5
423,2
424,3
425,1
426,2
427,1
428,1
429,5
430,2
431,1
432,4
433,1
434,1
435,3
436,1
437,2
438,1
439,1
440,8
441,2
442,2
443,1
444,3
445,1
447,5
448,1
449,1
450,1
452,3
453,1
454,4
455,1
456,2
457,1
458,2
459,3
460,5
461,4
462,3
465,2
466,1
467,1
468,3
469,2
470,1
471,2
472,1
473,2
474,3
475,1
476,2
477,2
479,2
480,1
481,2
482,3
483,5
484,3
485,1
486,2
487,1
488,4
489,1
491,2
492,4
493,1
494,1
496,1
497,3
498,2
500,1
503,1
504,2
505,2
507,1
508,1
509,1
510,4
511,2
512,3
513,1
514,3
516,1
517,1
520,1
521,1
523,3
524,1
525,3
527,2
528,1
529,4
530,1
532,1
533,3
534,1
535,3
536,1
537,2
538,1
540,2
541,1
543,2
544,2
545,1
547,1
548,1
549,3
550,2
551,1
553,3
554,2
555,2
556,1
557,1
558,1
559,1
560,1
563,1
564,1
566,3
568,1
570,1
572,1
574,1
575,1
576,2
577,2
578,2
579,1
580,2
581,2
582,1
583,3
584,2
585,2
588,2
589,1
591,1
592,1
595,1
596,3
597,1
598,1
602,1
604,2
605,2
606,2
609,1
612,2
614,4
619,1
621,1
622,1
623,4
625,1
627,2
628,1
630,2
631,1
633,1
634,1
635,1
637,3
639,2
641,1
642,2
643,2
647,1
648,2
651,3
652,1
654,1
655,1
656,2
657,1
658,2
660,1
663,1
665,1
666,1
668,2
669,2
671,1
675,1
679,1
680,2
685,1
687,1
689,1
690,1
692,1
696,1
697,1
699,1
704,1
706,2
708,2
709,1
714,1
737,1
738,1
743,1
744,1
745,1
746,1
748,2
754,1
756,1
758,1
759,1
772,1
782,1
788,1
789,1
797,1
800,1
811,2
818,1
819,1
820,1
826,1
829,1
838,1
847,1
854,1
857,1
858,1
859,1
861,1
862,1
863,2
865,1
867,1
869,1
874,1
886,1
900,2
910,1
918,1
937,1
947,1
949,1
955,1
959,1
961,1
964,1
969,1
975,1
978,1
1123,1
1273,1
1279,1
1287,1
1343,1
1532,1
1673,1
1766,1
2065,1
3050,1
6107,1
12431,1
14871,1
19229,1
26847,1
31883,1
