"x","count"
1,36450
2,33105
3,29038
4,25666
5,24461
6,22679
7,20958
8,19339
9,18621
10,17115
11,16042
12,15371
13,14206
14,13500
15,12734
16,12514
17,12246
18,12138
19,11736
20,11139
21,10650
22,10202
23,9764
24,9135
25,8639
26,8130
27,7647
28,6937
29,6531
30,6316
31,6002
32,5596
33,5224
34,4936
35,4662
36,4483
37,4163
38,3897
39,3925
40,3477
41,3377
42,3179
43,3177
44,2879
45,2757
46,2670
47,2479
48,2374
49,2304
50,2210
51,2013
52,2027
53,1896
54,1830
55,1761
56,1737
57,1605
58,1537
59,1448
60,1336
61,1366
62,1274
63,1240
64,1280
65,1208
66,1120
67,1079
68,1029
69,969
70,976
71,946
72,919
73,1019
74,834
75,838
76,765
77,780
78,803
79,734
80,712
81,666
82,691
83,674
84,628
85,609
86,562
87,558
88,584
89,538
90,483
91,508
92,495
93,478
94,445
95,427
96,426
97,533
98,418
99,416
100,509
101,432
102,355
103,427
104,378
105,416
106,412
107,398
108,346
109,354
110,359
111,293
112,312
113,290
114,292
115,281
116,292
117,267
118,235
119,289
120,271
121,254
122,269
123,269
124,258
125,257
126,203
127,313
128,246
129,305
130,266
131,222
132,237
133,210
134,199
135,217
136,189
137,192
138,205
139,167
140,185
141,195
142,172
143,171
144,188
145,179
146,170
147,185
148,155
149,167
150,181
151,167
152,151
153,147
154,159
155,130
156,137
157,156
158,135
159,178
160,128
161,141
162,132
163,233
164,135
165,139
166,150
167,149
168,115
169,137
170,140
171,116
172,122
173,123
174,127
175,119
176,120
177,101
178,92
179,98
180,109
181,105
182,107
183,105
184,92
185,102
186,83
187,85
188,105
189,87
190,111
191,119
192,98
193,98
194,76
195,107
196,94
197,77
198,89
199,90
200,77
201,101
202,89
203,69
204,92
205,83
206,73
207,80
208,84
209,67
210,85
211,60
212,70
213,61
214,63
215,73
216,70
217,60
218,58
219,69
220,66
221,68
222,59
223,70
224,69
225,82
226,60
227,82
228,71
229,59
230,64
231,68
232,53
233,73
234,61
235,37
236,59
237,54
238,63
239,49
240,56
241,60
242,68
243,64
244,65
245,62
246,57
247,61
248,45
249,58
250,62
251,56
252,53
253,42
254,53
255,46
256,47
257,46
258,57
259,47
260,53
261,62
262,49
263,40
264,54
265,59
266,41
267,47
268,50
269,53
270,51
271,55
272,52
273,45
274,47
275,38
276,46
277,33
278,47
279,57
280,45
281,38
282,47
283,36
284,45
285,47
286,46
287,35
288,47
289,39
290,46
291,40
292,34
293,33
294,38
295,34
296,37
297,48
298,28
299,34
300,27
301,36
302,46
303,30
304,36
305,28
306,39
307,30
308,28
309,41
310,35
311,39
312,30
313,33
314,36
315,42
316,36
317,35
318,30
319,33
320,30
321,34
322,40
323,37
324,34
325,40
326,29
327,23
328,38
329,25
330,23
331,41
332,27
333,26
334,33
335,38
336,23
337,28
338,27
339,36
340,27
341,22
342,21
343,34
344,22
345,25
346,26
347,29
348,26
349,25
350,35
351,37
352,32
353,31
354,26
355,28
356,27
357,25
358,19
359,30
360,21
361,23
362,22
363,22
364,30
365,21
366,26
367,24
368,30
369,22
370,24
371,32
372,19
373,31
374,25
375,30
376,25
377,20
378,24
379,17
380,24
381,17
382,28
383,36
384,33
385,22
386,35
387,25
388,26
389,31
390,29
391,30
392,28
393,23
394,33
395,19
396,21
397,31
398,24
399,33
400,32
401,23
402,23
403,31
404,13
405,25
406,14
407,20
408,26
409,22
410,22
411,20
412,25
413,27
414,11
415,21
416,21
417,19
418,16
419,18
420,13
421,22
422,22
423,26
424,19
425,21
426,23
427,24
428,27
429,22
430,19
431,24
432,23
433,23
434,19
435,25
436,16
437,25
438,20
439,19
440,24
441,21
442,18
443,24
444,19
445,20
446,15
447,28
448,25
449,15
450,16
451,25
452,18
453,15
454,20
455,15
456,23
457,15
458,10
459,12
460,20
461,19
462,18
463,15
464,22
465,14
466,11
467,20
468,13
469,12
470,48
471,51
472,26
473,22
474,28
475,29
476,21
477,33
478,15
479,16
480,15
481,16
482,13
483,15
484,12
485,24
486,23
487,16
488,24
489,18
490,19
491,13
492,26
493,22
494,15
495,28
496,15
497,20
498,17
499,16
500,24
501,17
502,16
503,13
504,18
505,13
506,127
507,368
508,17
509,18
510,8
511,12
512,9
513,20
514,15
515,13
516,16
517,30
518,15
519,15
520,22
521,23
522,11
523,20
524,20
525,15
526,33
527,26
528,25
529,28
530,17
531,13
532,14
533,12
534,18
535,22
536,14
537,10
538,17
539,9
540,13
541,17
542,16
543,19
544,16
545,15
546,13
547,17
548,30
549,22
550,24
551,24
552,10
553,19
554,14
555,13
556,12
557,21
558,13
559,10
560,14
561,13
562,18
563,16
564,23
565,12
566,8
567,6
568,10
569,11
570,15
571,22
572,20
573,17
574,15
575,19
576,22
577,13
578,17
579,38
580,17
581,26
582,32
583,13
584,19
585,29
586,21
587,12
588,29
589,22
590,18
591,16
592,22
593,17
594,22
595,14
596,12
597,7
598,9
599,11
600,14
601,10
602,19
603,20
604,9
605,15
606,8
607,6
608,12
609,12
610,7
611,7
612,14
613,14
614,10
615,6
616,9
617,10
618,15
619,6
620,12
621,4
622,10
623,12
624,8
625,17
626,9
627,7
628,9
629,10
630,4
631,4
632,10
633,12
634,8
635,6
636,9
637,7
638,15
639,10
640,10
641,7
642,11
643,14
644,9
645,7
646,14
647,8
648,5
649,9
650,7
651,5
652,8
653,6
654,11
655,15
656,9
657,9
658,7
659,7
660,7
661,11
662,11
663,8
664,7
665,6
666,12
667,13
668,8
669,10
670,6
671,8
672,7
673,8
674,5
675,8
676,8
677,10
678,12
679,6
680,8
681,7
682,12
683,8
684,7
685,8
686,8
687,14
688,5
689,8
690,9
691,8
692,11
693,3
694,14
695,11
696,11
697,5
698,10
699,9
700,6
701,8
702,8
703,10
704,8
705,14
706,11
707,8
708,10
709,11
710,12
711,6
712,15
713,10
714,15
715,8
716,15
717,16
718,13
719,11
720,10
721,7
722,4
723,15
724,14
725,12
726,18
727,9
728,11
729,6
730,11
731,3
732,6
733,11
734,9
735,12
736,11
737,3
738,13
739,16
740,9
741,6
742,10
743,14
744,10
745,5
746,13
747,6
748,9
749,7
750,7
751,11
752,11
753,4
754,7
755,12
756,5
757,4
758,7
759,9
760,7
761,5
762,9
763,8
764,4
765,8
766,11
767,4
768,4
769,7
770,2
771,7
772,6
773,4
774,8
775,8
776,6
777,4
778,14
779,7
780,5
781,6
782,6
783,8
784,10
785,8
786,8
787,7
788,6
789,5
790,8
791,9
792,5
793,8
794,5
795,9
796,4
797,6
798,7
799,7
800,4
801,6
802,6
803,8
804,8
805,8
806,7
807,9
808,4
809,5
810,6
811,4
812,5
813,4
814,11
815,9
816,6
817,9
818,3
819,6
820,9
821,6
822,7
823,12
824,7
825,5
826,9
827,2
828,14
829,7
830,7
831,5
832,5
833,9
834,7
835,4
836,3
837,8
838,6
839,7
840,5
841,5
842,7
843,4
844,5
845,10
846,4
847,5
848,8
849,3
850,5
851,6
852,6
853,4
854,6
855,8
856,5
857,9
858,4
859,6
860,8
861,3
862,1
863,4
864,10
865,7
866,8
867,9
868,5
869,2
870,3
871,4
872,3
873,7
874,7
875,6
876,4
877,3
878,5
879,7
880,6
881,8
882,4
883,5
