"x","count"
1,7290
2,5669
3,4696
4,4338
5,3284
6,2929
7,2669
8,2421
9,2413
10,2138
11,2040
12,2412
13,2260
14,2305
15,3236
16,3312
17,3333
18,3842
19,3927
20,4203
21,4076
22,3640
23,3672
24,3427
25,3069
26,2820
27,2839
28,2444
29,2455
30,2179
31,2022
32,1899
33,1920
34,1638
35,1540
36,1421
37,1317
38,1280
39,1262
40,1120
41,1124
42,990
43,1012
44,840
45,869
46,720
47,777
48,676
49,723
50,643
51,591
52,619
53,521
54,597
55,507
56,470
57,505
58,448
59,441
60,438
61,398
62,401
63,405
64,362
65,345
66,326
67,345
68,311
69,258
70,269
71,264
72,244
73,236
74,257
75,247
76,222
77,238
78,249
79,225
80,213
81,222
82,213
83,157
84,182
85,161
86,154
87,167
88,176
89,138
90,147
91,146
92,152
93,131
94,148
95,145
96,141
97,121
98,130
99,141
100,116
101,98
102,116
103,120
104,120
105,106
106,112
107,106
108,78
109,114
110,101
111,108
112,126
113,80
114,117
115,82
116,72
117,82
118,94
119,117
120,77
121,69
122,51
123,73
124,89
125,74
126,92
127,58
128,61
129,86
130,80
131,61
132,73
133,61
134,53
135,63
136,56
137,55
138,48
139,61
140,59
141,61
142,54
143,54
144,54
145,72
146,47
147,53
148,68
149,45
150,70
151,52
152,42
153,52
154,48
155,69
156,55
157,40
158,44
159,48
160,41
161,34
162,35
163,49
164,36
165,41
166,48
167,44
168,41
169,30
170,38
171,26
172,32
173,38
174,26
175,33
176,27
177,38
178,27
179,35
180,24
181,34
182,20
183,26
184,27
185,16
186,33
187,30
188,30
189,32
190,27
191,27
192,24
193,31
194,26
195,23
196,32
197,27
198,28
199,26
200,33
201,27
202,30
203,21
204,29
205,26
206,22
207,24
208,20
209,27
210,28
211,24
212,19
213,31
214,25
215,34
216,29
217,26
218,30
219,33
220,17
221,19
222,28
223,17
224,22
225,20
226,16
227,24
228,16
229,23
230,26
231,18
232,16
233,22
234,16
235,20
236,26
237,16
238,11
239,21
240,14
241,21
242,13
243,18
244,16
245,24
246,29
247,17
248,16
249,19
250,10
251,18
252,19
253,19
254,10
255,28
256,11
257,16
258,16
259,14
260,29
261,16
262,14
263,19
264,16
265,20
266,16
267,11
268,28
269,13
270,18
271,24
272,15
273,10
274,8
275,12
276,19
277,17
278,12
279,10
280,15
281,23
282,20
283,17
284,11
285,8
286,22
287,18
288,15
289,18
290,10
291,10
292,8
293,15
294,13
295,10
296,16
297,9
298,7
299,7
300,13
301,11
302,14
303,10
304,12
305,9
306,4
307,20
308,17
309,8
310,11
311,11
312,15
313,9
314,13
315,11
316,8
317,4
318,10
319,13
320,11
321,9
322,13
323,8
324,6
325,11
326,6
327,10
328,7
329,14
330,15
331,14
332,10
333,10
334,15
335,18
336,11
337,5
338,11
339,7
340,10
341,6
342,5
343,10
344,16
345,11
346,13
347,12
348,11
349,15
350,15
351,14
352,9
353,16
354,12
355,13
356,10
357,7
358,10
359,11
360,17
361,11
