"x","count"
1,286
2,171
3,132
4,141
5,122
6,95
7,59
8,88
9,53
10,59
11,51
12,58
13,27
14,36
15,28
16,38
17,23
18,17
19,23
20,15
21,17
22,19
23,19
24,6
25,17
26,16
27,11
28,7
29,11
30,8
31,12
32,8
33,7
34,9
35,4
36,5
37,8
38,1
39,5
40,2
41,7
42,4
43,5
44,2
45,7
46,3
47,3
48,6
49,3
50,5
51,4
52,1
53,4
54,1
55,5
56,2
57,2
59,2
60,1
61,3
62,5
63,1
64,1
65,3
66,1
67,2
68,3
69,2
71,1
72,6
73,2
74,3
76,2
77,2
78,3
79,1
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,4
94,1
97,2
98,4
101,1
105,1
108,1
113,1
119,2
124,1
126,1
137,1
142,1
147,1
148,1
154,1
169,1
222,1
272,1
