"x","count"
1,304
2,230
3,181
4,196
5,140
6,120
7,91
8,108
9,71
10,67
11,33
12,74
13,64
14,39
15,63
16,60
17,54
18,39
19,36
20,22
21,15
22,20
23,23
24,20
25,16
26,15
27,18
28,9
29,13
30,9
31,21
32,10
33,11
34,14
35,15
36,11
37,9
38,7
39,5
40,5
41,4
42,5
43,7
44,6
45,2
46,5
47,5
48,5
49,3
50,6
51,2
52,4
53,3
54,5
55,3
56,3
57,6
58,2
59,2
60,2
61,1
62,4
63,4
64,1
66,4
67,2
68,2
70,6
71,1
72,2
73,2
74,3
76,1
77,3
78,2
79,2
80,2
81,2
82,1
83,2
84,1
86,1
87,4
88,1
89,1
90,2
91,2
92,1
93,1
94,1
95,1
97,2
99,2
101,1
104,2
105,2
106,1
111,1
112,1
113,1
123,2
128,1
130,1
141,1
146,1
148,1
151,1
154,1
173,1
223,1
273,1
