"x","count"
1,371
2,398
3,664
4,313
5,276
6,155
7,120
8,141
9,126
10,113
11,93
12,102
13,95
14,84
15,80
16,55
17,58
18,109
19,71
20,64
21,51
22,40
23,50
24,33
25,45
26,65
27,72
28,34
29,26
30,33
31,46
32,36
33,34
34,15
35,64
36,23
37,82
38,21
39,41
40,28
41,30
42,34
43,17
44,18
45,8
46,20
47,15
48,8
49,17
50,22
51,42
52,26
53,16
54,25
55,22
56,23
57,18
58,17
59,21
60,64
61,7
62,9
63,12
64,10
65,12
66,7
67,9
68,16
69,4
70,3
71,6
72,5
73,2
74,35
75,4
76,4
77,4
78,7
79,5
81,12
82,6
83,14
85,9
86,1
87,47
88,1
89,27
90,31
91,83
92,6
93,8
94,5
95,6
96,29
97,5
98,3
99,1
100,2
101,6
102,13
103,1
104,20
105,6
106,16
107,2
108,9
109,1
110,26
111,11
112,3
113,52
114,27
115,26
116,14
118,4
119,2
120,2
121,3
122,5
123,2
124,6
125,8
126,10
127,4
128,2
129,1
130,6
131,17
132,1
133,24
134,40
135,2
136,1
137,1
138,1
139,2
143,5
145,16
147,1
148,5
149,60
150,20
151,17
152,3
153,43
154,5
155,8
157,5
159,3
160,53
161,2
162,4
163,1
164,4
165,31
166,5
167,2
169,1
170,1
171,11
172,5
173,3
174,1
175,7
176,20
179,1
181,4
182,4
183,1
184,26
185,2
186,3
188,3
189,1
190,4
191,1
194,2
195,4
196,4
197,4
199,1
200,1
202,2
203,11
204,5
205,14
206,22
207,12
208,38
209,7
210,6
211,3
213,8
219,5
222,1
223,2
224,5
226,1
227,38
228,1
229,7
232,1
233,1
234,1
239,1
241,1
242,1
243,1
246,2
247,2
248,1
249,2
250,1
253,1
254,1
255,2
256,2
257,1
259,1
265,6
272,1
274,1
277,1
279,1
280,1
281,1
285,1
286,6
290,5
291,1
299,6
304,1
305,3
306,1
313,4
314,1
315,1
319,2
320,2
321,5
326,1
327,1
333,1
334,1
338,2
341,2
344,1
348,2
350,1
352,1
365,1
370,1
397,2
398,1
409,4
412,1
422,1
427,1
447,2
454,1
495,1
513,1
601,1
606,1
855,1
