"x","count"
1,11860
2,17449
3,17702
4,17051
5,14565
6,12704
7,9489
8,7457
9,5661
10,4424
11,3477
12,2850
13,2086
14,1796
15,1480
16,1281
17,1170
18,1012
19,973
20,804
21,680
22,637
23,573
24,457
25,471
26,474
27,364
28,316
29,329
30,342
31,292
32,244
33,238
34,255
35,199
36,246
37,210
38,191
39,135
40,170
41,154
42,123
43,125
44,110
45,119
46,128
47,118
48,118
49,114
50,75
51,78
52,88
53,84
54,65
55,101
56,56
57,52
58,60
59,59
60,54
61,53
62,50
63,61
64,41
65,44
66,49
67,47
68,40
69,56
70,38
71,36
72,43
73,36
74,39
75,25
76,37
77,29
78,21
79,29
80,22
81,30
82,18
83,29
84,22
85,27
86,19
87,15
88,21
89,23
90,22
91,16
92,18
93,20
94,27
95,11
96,21
97,21
98,16
99,11
100,14
101,5
102,10
103,13
104,11
105,24
106,24
107,9
108,9
109,11
110,10
111,10
112,12
113,7
114,12
115,7
116,11
117,7
118,12
119,10
120,13
121,11
122,15
123,6
124,3
125,6
126,6
127,4
128,6
129,5
130,3
131,6
132,7
133,6
134,11
135,14
136,9
137,12
138,6
139,7
140,8
141,9
142,4
143,6
144,5
145,10
146,7
147,13
148,12
149,3
150,4
151,1
152,6
153,6
154,2
155,3
156,4
157,4
158,4
159,8
160,3
161,7
162,1
163,2
164,3
165,4
166,4
167,1
168,3
169,5
171,3
172,5
173,5
174,4
175,4
176,2
177,3
179,1
180,3
181,1
182,1
183,1
184,1
185,4
186,3
187,2
188,3
189,2
190,3
191,2
192,6
193,2
194,2
195,3
196,2
197,3
198,4
199,3
200,3
202,1
204,1
206,5
207,1
214,1
215,1
217,3
219,2
220,1
221,1
222,2
223,1
224,3
226,2
227,2
228,2
229,2
230,2
231,2
233,1
234,2
235,1
236,1
238,1
239,3
240,1
242,2
243,1
244,1
246,1
247,2
248,1
249,1
251,2
252,1
253,4
254,1
256,1
260,1
261,5
262,1
263,1
264,1
265,2
268,2
269,3
272,5
273,1
274,1
277,6
280,2
281,1
283,4
285,2
288,1
289,1
291,2
295,1
297,2
299,2
300,1
301,1
305,1
310,1
314,4
317,2
319,1
322,5
327,1
328,1
330,1
331,1
335,1
338,1
339,2
342,1
343,1
356,2
371,1
388,2
390,1
391,1
393,1
394,1
403,1
404,1
406,1
409,1
411,1
419,2
423,1
434,1
435,2
445,1
449,2
455,1
476,2
487,1
506,1
513,1
517,1
549,4
563,1
564,1
572,1
586,1
593,1
602,2
607,2
609,1
612,1
624,1
636,3
664,1
685,1
700,4
701,2
707,1
709,1
711,1
740,1
758,1
783,1
799,1
820,1
821,1
832,1
833,1
895,1
918,1
932,1
944,1
950,1
1008,1
